"KEGG Organisms: Complete Genomes"
"Eukaryotes: 542   Bacteria: 6047   Archaea: 338"
"ein   Encephalitozoon intestinalis                     RefSeq"
"Microsporidians                        ehe    Encephalitozoon hellem                           RefSeq"
"ero   Encephalitozoon romaleae                         RefSeq"
"nce   Nosema ceranae                                   GenBank"
"mbr    Monosiga brevicollis                             RefSeq"
"Choanoflagellates"
"sre   Salpingoeca rosetta                              RefSeq"
"ddi   Dictyostelium discoideum (cellular slime mold)   RefSeq"
"Dictyostelia       dpp    Dictyostelium purpureum (cellular slime mold)    RefSeq"
"dfa   Cavenderia fasciculata (cellular slime mold)     RefSeq"
"Amoebozoa                               ehi   Entamoeba histolytica                            RefSeq"
"Entamoeba           edi   Entamoeba dispar                                 RefSeq"
"eiv   Entamoeba invadens                               RefSeq"
"Acanthamoeba       acan Acanthamoeba castellanii                           RefSeq"
"pfa   Plasmodium falciparum 3D7                        RefSeq"
"pfd   Plasmodium falciparum Dd2                         Broad"
"pfh   Plasmodium falciparum HB3                         Broad"
"pyo   Plasmodium yoelii                                RefSeq"
"pcb   Plasmodium chabaudi                              RefSeq"
"pbe    Plasmodium berghei                               RefSeq"
"pkn   Plasmodium knowlesi                              RefSeq"
"pvx   Plasmodium vivax                                 RefSeq"
"pcy   Plasmodium cynomolgi                             RefSeq"
"Apicomplexans"
"tan   Theileria annulata                               RefSeq"
"Alveolates                              tpv   Theileria parva                                  RefSeq"
"tot   Theileria orientalis                             RefSeq"
"beq    Theileria equi                                   RefSeq"
"bbo    Babesia bovis                                    RefSeq"
"bmic Babesia microti                                    RefSeq"
"cpv   Cryptosporidium parvum                           RefSeq"
"cho   Cryptosporidium hominis                          RefSeq"
"Protists"
"tgo   Toxoplasma gondii                                RefSeq"
"tet   Tetrahymena thermophila                          RefSeq"
"Ciliates"
"ptm    Paramecium tetraurelia                           RefSeq"
"Dinoflagellates    smin Breviolum minutum                                   OIST"
"pti   Phaeodactylum tricornutum                        RefSeq"
"Diatoms             fcy   Fragilariopsis cylindrus                         GenBank"
"tps   Thalassiosira pseudonana                         RefSeq"
"Eustigmatophytes   ngd    Nannochloropsis gaditana                         RefSeq"
"Stramenopiles"
"Pelagophytes        aaf   Aureococcus anophagefferens                      RefSeq"
"pif   Phytophthora infestans                           RefSeq"
"Oomycetes          psoj Phytophthora sojae                                 RefSeq"
"spar Saprolegnia parasitica                             RefSeq"
"Haptophyta                              ehx   Emiliania huxleyi                                RefSeq"
"Cryptomonads                            gtt   Guillardia theta                                 RefSeq"
"tbr   Trypanosoma brucei brucei                        RefSeq"
"tbg   Trypanosoma brucei gambiense                     RefSeq"
"tcr   Trypanosoma cruzi                                RefSeq"
"lma   Leishmania major                                 RefSeq"
"Euglenozoa          Kinetoplasts        lif   Leishmania infantum                              RefSeq"
"ldo   Leishmania donovani                              RefSeq"
"lmi   Leishmania mexicana                              RefSeq"
"lbz   Leishmania braziliensis                          RefSeq"
"lpan Leishmania panamensis                              RefSeq"
"Heterolobosea       Tetramitia          ngr   Naegleria gruberi                                RefSeq"
"Trichomonads        tva   Trichomonas vaginalis                            RefSeq"
"Metamonada"
"Diplomonads         gla   Giardia lamblia                                  RefSeq"
""
""
"Prokaryotes"
"Category                                                      Organisms          Year Source"
"eco    Escherichia coli K-12 MG1655                     1997 RefSeq"
"ecj    Escherichia coli K-12 W3110                      2001 GenBank"
"ecd    Escherichia coli K-12 DH10B                      2008 GenBank"
"ebw    Escherichia coli K-12 BW2952                     2009 GenBank"
"ecok Escherichia coli K-12 MDS42                        2013 GenBank"
"ece    Escherichia coli O157:H7 EDL933 (EHEC)           2001 GenBank"
"ecs    Escherichia coli O157:H7 Sakai (EHEC)            2001 RefSeq"
"ecf    Escherichia coli O157:H7 EC4115 (EHEC)           2008 GenBank"
"etw    Escherichia coli O157:H7 TW14359 (EHEC)          2009 GenBank"
"elx    Escherichia coli O157:H7 Xuzhou21 (EHEC)         2012 GenBank"
"eoi    Escherichia coli O111:H- 11128 (EHEC)            2009 GenBank"
"eoj    Escherichia coli O26:H11 11368 (EHEC)            2009 GenBank"
"eoh    Escherichia coli O103:H2 12009 (EHEC)            2009 GenBank"
"ecoo Escherichia coli O145:H28 RM13514 (EHEC)           2014 GenBank"
"ecoh Escherichia coli O145:H28 RM13516 (EHEC)           2014 GenBank"
"esl    Escherichia coli O104:H4 2011C-3493 (EAEC)       2012 RefSeq"
"eso    Escherichia coli O104:H4 2009EL-2071 (EAEC)      2012 GenBank"
"esm    Escherichia coli O104:H4 2009EL-2050 (EAEC)      2012 GenBank"
"eck    Escherichia coli 55989 (EAEC)                    2009 GenBank"
"ecg    Escherichia coli O127:H6 E2348/69 (EPEC)         2008 GenBank"
"eok    Escherichia coli O55:H7 CB9615 (EPEC)            2010 GenBank"
"elr   Escherichia coli O55:H7 RM12579 (EPEC)           2012 GenBank"
"elh    Escherichia coli O78:H11:K80 H10407 (ETEC)       2012 GenBank"
"ecw    Escherichia coli O139:H28 E24377A (ETEC)         2007 GenBank"
"eun    Escherichia coli UMNK88 (ETEC, porcine)          2012 GenBank"
"ecp    Escherichia coli O6:K15:H31 536 (UPEC)           2006 GenBank"
"ena    Escherichia coli NA114 (UPEC)                    2012 GenBank"
"ecos Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC)   2016 GenBank"
"ecv    Escherichia coli APEC O1 (APEC)                  2006 GenBank"
"ecoa Escherichia coli APEC O78 (APEC)                   2013 GenBank"
"ecx    Escherichia coli O9 HS (commensal)               2007 GenBank"
"ecm    Escherichia coli SMS-3-5 (environmental)         2008 GenBank"
"ecy    Escherichia coli O152:H28 SE11 (commensal)       2008 GenBank"
"ecr    Escherichia coli O8 IAI1 (commensal)             2009 GenBank"
"Escherichia   ecq    Escherichia coli O81 ED1a (commensal)            2009 GenBank"
"eum    Escherichia coli O17:K52:H18 UMN026 (ExPEC)      2009 RefSeq"
"ect    Escherichia coli O7:K1 IAI39 (ExPEC)             2009 RefSeq"
"eoc    Escherichia coli O7:K1 CE10                      2012 GenBank"
"ebr    Escherichia coli B REL606                        2009 GenBank"
"ebl    Escherichia coli BL21(DE3)                       2012 GenBank"
"ebe    Escherichia coli BL21(DE3)                       2012 GenBank"
"ebd    Escherichia coli BL21-Gold(DE3)pLysS AG          2009 GenBank"
"eci    Escherichia coli O18:K1:H7 UTI89 (UPEC)          2006 GenBank"
"eih    Escherichia coli O18:K1:H7 IHE3034 (ExPEC)       2012 GenBank"
"ecz    Escherichia coli O45:K1:H7 S88 (ExPEC)           2009 GenBank"
"ecc    Escherichia coli O6:K2:H1 CFT073 (UPEC)          2002 GenBank"
"elo    Escherichia coli O44:H18 042 (EAEC)              2012 GenBank"
"eln    Escherichia coli O83:H1 NRG 857C (AIEC)          2012 RefSeq"
"ese    Escherichia coli O150:H5 SE15 (commensal)        2012 GenBank"
"ecl    Escherichia coli ATCC 8739                       2008 GenBank"
"eko    Escherichia coli KO11FL                          2012 GenBank"
"ekf    Escherichia coli KO11FL                          2012 GenBank"
"eab    Escherichia coli ABU 83972                       2012 GenBank"
"edh    Escherichia coli DH1                             2012 GenBank"
"edj    Escherichia coli DH1                             2012 GenBank"
"elu    Escherichia coli UM146                           2012 GenBank"
"elw    Escherichia coli W                               2012 GenBank"
"ell   Escherichia coli W                               2012 GenBank"
"elc    Escherichia coli clone D i14                     2012 GenBank"
"eld    Escherichia coli clone D i2                      2012 GenBank"
"elp    Escherichia coli P12b                            2012 GenBank"
"elf   Escherichia coli LF82                            2012 GenBank"
"ecol   Escherichia coli LY180                           2013 GenBank"
"ecoi   Escherichia coli PMV-1                           2013 GenBank"
"ecoj   Escherichia coli JJ1886                          2013 GenBank"
"efe    Escherichia fergusonii                           2008 GenBank"
"eal    Escherichia albertii                             2015 GenBank"
"ema    Escherichia marmotae                             2018 GenBank"
"esz    Escherichia sp. E4742                            2019 GenBank"
"              sty   Salmonella enterica subsp. enterica serovar Typhi CT18                2001 RefSeq"
"stt   Salmonella enterica subsp. enterica serovar Typhi Ty2                 2003 GenBank"
"sex    Salmonella enterica subsp. enterica serovar Typhi P-stx-12            2012 GenBank"
"sent   Salmonella enterica subsp. enterica serovar Typhi Ty21a               2013 GenBank"
"stm    Salmonella enterica subsp. enterica serovar Typhimurium LT2           2001 RefSeq"
"seo    Salmonella enterica subsp. enterica serovar Typhimurium 14028S        2012 GenBank"
"sev    Salmonella enterica subsp. enterica serovar Typhimurium D23580        2012 GenBank"
"sey    Salmonella enterica subsp. enterica serovar Typhimurium SL1344        2012 GenBank"
"sem    Salmonella enterica subsp. enterica serovar Typhimurium T000240       2012 GenBank"
